CUSTOMER_ID,PRODUCT_ID,REVIEW_SCORE
b0ec3894ce1e2d319363928f8b4649a4,47859fca9dd7485cbd93c3e8993bb74f,4
2c59071cb3b43a971e166dc9e2a410f2,c12b64bf0861a27e0f06c36ef82f457d,5
9393ea60acdf05a4004483c3b7c24d77,bb09cce52b336261572a5a7e25a33795,5
352960fe6741c7944bd2007d8d1d3f64,56139431d72cd51f19eb9f7dae4d1617,5
d5f6259a2f0fa2907ce0d47876f0852f,dd768d259ee6054e0dadd66c8e2be0b6,1
a34cb9acedf3c08390532e4df4f38ac7,dd768d259ee6054e0dadd66c8e2be0b6,3
54ca6dc5e99a82fe5112744bc4e9ef26,dd768d259ee6054e0dadd66c8e2be0b6,5
0a63548671f07e285558169123b2ab35,f4d705aa95ccca448e5b0deb6e5290ba,3
ce667e4b89cd1137f40a8d799354b674,23ab7bb9eac81e85ec43ed71064cf7ce,4
6e875338f7a2933dcabb08b9404c3f72,3c883b9d3fd2d0ce448d4136349dc0a4,3
1e731fba87f0c669e7909fb9a7ce408d,37dffde0476450e75dae423136954b0f,2
1e731fba87f0c669e7909fb9a7ce408d,8a2d3285de64b2117fbf83784acd09fc,2
ccef9579d4093da59f1a24bed9091fd5,f092eaa771e3dca0bfeca32b5c9d5669,5
ba9e2ff94ab776d05be0cbd067755c50,4c303e0fd131aa3fe487c108b5aa8c06,4
d0d47db5ad7c0d4e67ef8587667fe9b4,2ae501b303a5a8e6f75c8c36f366b2d5,2
5146d2de3f8139107458758bcb6d3db7,6a23ae3187f1dac41b7210a8c7739d6b,2
744e512de8ebc8f28c301d0c4e874293,4a37bc772078a013df64fd661ae5ee6c,5
1aeeb63dba7f0ac8d35d42f7a12d2004,d4de08feff9533e02efa79613935336e,3
da42c4f5f48db6c2e09ae4fef214098a,c4df35b0ef8a1996cd7118d81c1632ad,5
7d498305b94fb1d7f3e26e6fce47e4cd,b6665355b9d865e088250a5c8d7b36c1,5
efc09af87a17c5e3af68c5c2af9768ea,13191128a8f50089d2ed9b7a25dc21df,4
fc9fdbf5a26b1399e70bb3666cf7f9e6,53b36df67ebb7c41585e8d54d6772e08,3
b1a61930f7a035bc34f86f22eebed4ae,53b36df67ebb7c41585e8d54d6772e08,1
866797f8cd1ee4b1311ed5ff65bc6b0e,a22f707cfd269773138c3bf3a43f6180,5
7d68e1861e0a36c2876e702fec92adf0,375478581c97832540b9209722a32058,5
c5e7211f8786d4dd60119623f6364818,fe705ffbaa3804c5562b8b1046157a6c,1
ed49fe4d74601cca98f28b3b5f3f8968,aeb4a18fc6dad1f6cb6474d69f634ad2,2
95ebcc4d6979728b4d9993a0c9b6abfb,3512f777c335f8297b5ad43416b69cf8,5
331c5690c13e397b0e1fb1fb407c4f9f,385a33a408e9c35c9fbc2025c12f3784,3
209b7e0dd7774132fa4dcedca65fcda0,2e04efb6656990084af256e304d9a573,5
927cd6e9fc974a3b4e48db435890ed8c,c2c951d6f458fe552a49dcd590bdb4a6,4
12263c794936bb8d261c59e7a5edb234,b9055c6417cea84a8198fec56ff6148f,4
eb7a157e8da9c488cd4ddc48711f1097,0eb41884a8773e019708fb8409fd8347,5
60c23b4f05e926f24472f5ae2ec6b89c,a93ad122024312ca432da7f7b32474b4,3
e898b5ef24833b9cb9e2d4f00b937595,a7bbff32c7321478b29f924301a1867d,1
6233e1c1b76b3f0e1527afdd8db0c7a1,d19284bf0893e07e80c26fe4ad33458e,1
